tipodte;fchemis;folio;rutrecep;nmbitem;qtyitem;prcitem;montoitem;cmnarecep
33;10-11-2018;3444;93567;mix frutos secos;49;3232;158368;PUENTE ALTO
33;20-10-2018;3341;93567;mix frutos secos;62;3624;224688;PUENTE ALTO
33;21-09-2018;3182;93567;mix frutos secos;46;3449;158654;PUENTE ALTO
33;08-11-2018;1671561;93567;PACK 5 CORBATA 80 + 1 POMAROLA 5X2,2 KG;1;2480;2108;PUENTE ALTO
33;08-11-2018;1671561;93567;PACK 5 ESPIRAL 49 + 1 POMAROLA 5X2,2 KG;1;2480;2108;PUENTE ALTO
33;04-10-2018;1656764;93567;CHOCMAN 32X33 GR;1;3120;3120;PUENTE ALTO
33;04-10-2018;1656764;93567;VIVO MIFRUT TRADICIONAL MANZANA 10X6X90;1;1432;1432;PUENTE ALTO
33;04-10-2018;1656764;93567;AMB JALEA POUCH PINA 6X100 GR.;1;1414;1414;PUENTE ALTO
33;04-10-2018;1656764;93567;AMBERRIES DP 20X25 GR.;1;1940;1940;PUENTE ALTO
33;04-10-2018;1656764;93567;FRAC MENTA 36X130 GR.;18;327;5121;PUENTE ALTO
33;04-10-2018;1656764;93567;FRAC CHOCOLATE 36X130 GR.;18;327;5121;PUENTE ALTO
33;04-10-2018;1656764;93567;FRAC BI CAPUCCINO 36X130 GR.;18;327;5886;PUENTE ALTO
33;04-10-2018;1656764;93567;SODA CUBO 27X54 GR;1;3910;3910;PUENTE ALTO
33;04-10-2018;1656764;93567;VIZZIO SNACK 6 X 12 X 33 GR.;1;2730;2730;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR VIVO 5 PINA TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR VIVO 5 BERRIES TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR VIVO NARANJA TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR VIVO 5 DURAZNO TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR VIVO 5 MANZANA TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;04-10-2018;1656764;93567;FULL MASTICRUNCH 6X20X16.2 GR;1;1220;1220;PUENTE ALTO
33;04-10-2018;1656764;93567;AMBROSITO DP 20X25 GR.;1;1940;1940;PUENTE ALTO
33;04-10-2018;1656764;93567;LOLY CHOC CHOCOLATE 8X24X11,5 GR.;2;1500;3000;PUENTE ALTO
33;04-10-2018;1656764;93567;JUMEX PINA 24X335 ML;12;359;4308;PUENTE ALTO
33;04-10-2018;1656764;93567;NECTAR COCO-PINA 24 X 335 ML.;12;359;4308;PUENTE ALTO
33;25-10-2018;1666345;93567;NECTAR VIVO NARANJA TRIPACK 8X3X190 ML;8;536;4288;PUENTE ALTO
33;25-10-2018;1666345;93567;MIRAFLORES LAR G1 LAM 10X1 KG.;10;890;8188;PUENTE ALTO
