Folio;Boleta
350;construccion 
460;agua  otros 
628;servicio 
640;lacteo limpieza pan snack 
673;fruta 
683;arroz azucar construccion construccion fiesta limpieza otros otros roceador vestuario 
684;cocina higiene higiene 
738;fruta pan 
756;agua  
761;agua  agua  agua  
775;agua  agua  agua  
782;agua  agua  agua  
785;agua  agua  
791;agua  agua  agua  
797;agua  
803;agua  agua  
807;otros 
822;agua  agua  agua  
839;agua  agua  agua  
850;agua  agua  agua  
860;agua  bebida 
867;agua  agua  agua  
879;agua  agua  agua  otros 
892;agua  agua  
898;agua  otros otros 
925;agua  agua  agua  
931;agua  agua  agua  
940;agua  agua  agua  
951;agua  agua  agua  
960;agua  agua  agua  
961;otros 
971;agua  agua  agua  
974;agua  agua  agua  otros 
980;agua  agua  agua  
1008;agua  agua  agua  
1882;pan 
1975;pan 
2068;pan 
2159;pan 
2502;jugo lacteo 
2764;fruta 
2833;fruta 
2922;embutido jugo 
2928;fruta 
3182;snack 
3184;embutido jugo pan 
3341;snack 
3444;snack 
3565;construccion 
4654;snack verdura 
5015;snack verdura 
5423;embutido 
6553;embutido higiene snack snack snack snack snack snack 
7086;embutido embutido snack snack 
7285;embutido 
7520;embutido snack snack snack 
7641;otros 
7685;fruta fruta 
8367;embutido snack snack snack 
9006;embutido snack 
9361;embutido embutido snack snack snack 
15180;fruta 
15496;fruta 
15614;fruta 
15652;fruta 
15900;fruta 
15973;fruta 
16151;fruta 
16248;fruta 
16292;fruta 
16529;fruta 
16656;fruta 
16737;fruta 
16850;fruta 
17006;fruta 
17142;fruta 
17234;fruta 
17431;fruta 
17709;fruta 
17880;fruta 
19920;construccion 
24431;vessi 
28867;condimento snack snack 
30020;embutido snack snack snack snack snack 
31731;condimento snack 
32311;condimento 
34899;condimento 
35035;otros 
36513;snack snack 
37104;condimento 
43488;bebida servicio 
63693;embutido 
65179;embutido 
68596;embutido 
78858;jugo otros servicio verdura 
78860;condimento conserva jugo legumbre otros postre servicio verdura verdura 
157152;bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida jugo jugo jugo jugo jugo servicio 
157153;jugo servicio 
157237;bebida servicio 
157736;bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida jugo jugo jugo servicio 
157737;agua  agua  agua  agua  agua  bebida servicio 
158275;agua  agua  agua  agua  bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida servicio 
158276;agua  bebida bebida bebida jugo jugo jugo jugo jugo jugo servicio 
158851;bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida servicio 
158852;agua  agua  agua  agua  agua  jugo jugo jugo jugo jugo jugo jugo jugo jugo servicio 
161518;agua  agua  agua  agua  agua  agua  bebida bebida bebida bebida bebida bebida bebida bebida bebida servicio 
161519;agua  agua  agua  agua  agua  bebida bebida bebida bebida bebida servicio 
162210;agua  bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida bebida jugo jugo jugo servicio 
162211;jugo jugo jugo jugo jugo jugo jugo jugo jugo servicio 
162674;agua  agua  agua  agua  agua  agua  agua  bebida bebida bebida bebida bebida jugo jugo jugo servicio 
162675;bebida servicio 
