rutemisor,tipodte,fchemis,folio,rutrecep,nrolindet,nmbitem,qtyitem,prcitem,montoitem,cmnarecep,cmnaorigen
33612,33,2018-04-17,10481,766910,1,CARRETE SOLDADURA,1.000000,8319.000000,8319.0000,PROVIDENCIA,VILLA ALEMANA
33612,33,2018-04-17,10481,766910,2,CODOS  1/2 BRONCE,5.000000,420.000000,2100.0000,PROVIDENCIA,VILLA ALEMANA
33612,33,2018-04-17,10481,766910,3,REDUCCIOONES 1/2 A 3/4,2.000000,798.000000,1596.0000,PROVIDENCIA,VILLA ALEMANA
33612,33,2018-04-17,10481,766910,4,TEE 3/4,1.000000,1470.000000,1470.0000,PROVIDENCIA,VILLA ALEMANA
33612,33,2018-04-17,10481,766910,5,TEE 3/4X1/2X3/4,2.000000,1596.000000,3192.0000,PROVIDENCIA,VILLA ALEMANA
33612,33,2018-04-17,10481,766910,6,TEE 3/4 3/4 1/2,1.000000,1597.000000,1597.0000,PROVIDENCIA,VILLA ALEMANA
115848,33,2018-08-11,15900,768798,1,PALTA HASS KG,14.800000,2100.840000,31092.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
113034,33,2018-11-10,3444,93567,1,mix frutos secos,49.000000,3232.000000,158368.0000,PUENTE ALTO,RECOLETA
115848,33,2018-10-30,17880,768798,1,PALTA HASS KG,31.690000,1596.640000,50598.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-11,10436,69830,1,modulo 30x80,1.000000,16720.000000,16720.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-11,10436,69830,2,modulo 60x80,1.000000,20910.000000,20910.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-11,10436,69830,3,tapa 80,1.000000,15900.000000,15900.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-13,10463,113615,1,s/guia 23333,1.000000,28067.000000,28067.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-17,10485,786181,1,dsico traslape,2.000000,1260.000000,2520.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-14,10467,776875,1,nylon  1 1/2,8.000000,1596.000000,12768.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-14,10467,776875,2,soldadura,4.000000,630.000000,2520.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-19,10503,762212,1,zinc en u 2mts,1.000000,4958.000000,4958.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10503,762212,2,diluyente,1.000000,1680.000000,1680.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10503,762212,3,broca 2,1.000000,968.000000,968.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10503,762212,4,autoperforante 3,20.000000,67.000000,1340.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-21,16737,768798,1,PALTA HASS PRIMERA FIRME,35.000000,1680.670000,58823.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-13,10455,102057,1,anticorrosivo,1.000000,4537.000000,4537.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,2,brocha 4,1.000000,2260.000000,2260.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,3,brocha 3,1.000000,1764.000000,1764.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,4,caja tornilos,1.000000,2100.000000,2100.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,5,broca 3,2.000000,588.000000,1176.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,6,cerradura tubular urbano,1.000000,18403.000000,18403.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10455,102057,7,lijas maderas,4.000000,168.000000,672.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-14,10468,760365,1,tijera podar,1.000000,7142.000000,7142.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10454,766184,1,CURVA,2.000000,495.000000,990.0000,CHILLAN,VILLA ALEMANA
33612,33,2018-04-12,10454,766184,2,CODO,1.000000,3193.000000,3193.0000,CHILLAN,VILLA ALEMANA
33612,33,2018-04-12,10454,766184,3,CODO,1.000000,2184.000000,2184.0000,CHILLAN,VILLA ALEMANA
33612,33,2018-04-12,10454,766184,4,TIRA,1.000000,4033.000000,4033.0000,CHILLAN,VILLA ALEMANA
33612,33,2018-04-12,10447,969274,1,S/orden comp 327   5/2/18,1.000000,10966.000000,10966.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10447,969274,2,s/orden comp 329   8/2/18,1.000000,18420.000000,18420.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10447,969274,3,s/orden comp 330  13/2/18,1.000000,8890.000000,8890.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-10-25,17709,768798,1,PALTA HASS KG,97.530000,1512.610000,147525.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-19,10506,764852,1,s/cemnto,6.000000,3067.000000,18402.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10456,966632,1,s/guia 23318  1/3/18,1.000000,39621.000000,39621.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10456,966632,2,s/guia 23331  9/3/18,1.000000,44655.000000,44655.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10456,966632,3,s/guia 23347  27/3/18,1.000000,15621.000000,15621.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10458,764527,1,cajas de tornillos 3/4,2.000000,2100.000000,4200.0000,LAS CONDES,VILLA ALEMANA
115848,33,2018-08-22,16248,768798,1,PALTA HASS PRIMERA FIRME,31.600000,1680.670000,53109.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-19,10501,90715,1,llave paso bola 1 1/2,1.000000,9159.000000,9159.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10501,90715,2,teflon 1,1.000000,714.000000,714.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10470,762212,1,s cemnto,3.000000,3067.000000,9201.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-03,16292,768798,1,PALTA HASS KG,32.000000,1596.640000,51092.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-19,10507,762602,1,tuercas 1/4,8.000000,42.000000,336.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10507,762602,2,golillas 1/4,8.000000,42.000000,336.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10507,762602,3,hilos 1/4,4.000000,1008.000000,4032.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-10-08,17234,768798,1,PALTA HASS KG,16.200000,1680.670000,27227.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-16,10477,765514,1,pernos coche complt. 5/16,4.000000,252.000000,1008.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10477,765514,2,perno 3/8 c/tuerca,1.000000,168.000000,168.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10477,765514,3,p/terciado estructural 9,8.000000,10504.000000,84032.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10477,765514,4,paquetes plumavit 50mm,6.000000,9160.000000,54960.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10476,761123,1,esmeril  sinhell,1.000000,31848.000000,31848.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10453,768122,1,GOLILLAS 5/16,20.000000,42.000000,840.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10453,768122,2,TUERCAS 5/16,20.000000,42.000000,840.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10453,768122,3,HILO 3/16,2.000000,1302.000000,2604.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10453,768122,4,PERFIL 40X40X2,2.000000,9831.000000,19662.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10502,776758,1,pino 1x5,4.000000,1218.000000,4872.0000,QUILLOTA,VILLA ALEMANA
33612,33,2018-04-19,10502,776758,2,carbolineo,2.000000,2100.000000,4200.0000,QUILLOTA,VILLA ALEMANA
33612,33,2018-04-19,10502,776758,3,disco corte,1.000000,1050.000000,1050.0000,QUILLOTA,VILLA ALEMANA
33612,33,2018-04-19,10502,776758,4,caja tornillos,1.000000,2100.000000,2100.0000,QUILLOTA,VILLA ALEMANA
33612,33,2018-04-19,10502,776758,5,soldadura,1.000000,3781.000000,3781.0000,QUILLOTA,VILLA ALEMANA
33612,33,2018-04-16,10475,761943,1,s/ cemneto,6.000000,3067.000000,18402.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-12,10448,781962,1,llave paso 40pvc,2.000000,2605.000000,5210.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10448,781962,2,tee pvc 50,1.000000,1252.000000,1252.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10448,781962,3,tee pvc 40,1.000000,579.000000,579.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10448,781962,4,curva pvc 40,2.000000,1470.000000,2940.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10494,768447,1,perfil 100x100 2mts,1.000000,19246.000000,19246.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-18,10494,768447,2,palos 2x3,4.000000,1428.000000,5712.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-18,10494,768447,3,tira fierro 10 3/8,2.000000,2226.000000,4452.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-18,10494,768447,4,tira fierro 1/4 6mts,6.000000,1084.000000,6504.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-11,10440,137667,1,p/ pomeles 3/4,3.000000,2512.000000,7536.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-29,17006,768798,1,PALTA HASS PRIMERA FIRME,33.400000,2100.840000,70168.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-13,10457,761027,1,cinta 3 m aisladora,1.000000,1218.000000,1218.0000,QUINTA NORMAL,VILLA ALEMANA
33612,33,2018-04-13,10457,761027,2,desatornillador cruz,1.000000,2268.000000,2268.0000,QUINTA NORMAL,VILLA ALEMANA
33612,33,2018-04-13,10457,761027,3,desatornillador cruz,1.000000,1596.000000,1596.0000,QUINTA NORMAL,VILLA ALEMANA
33612,33,2018-04-13,10465,762292,1,s/guia              23349,1.000000,5739.000000,5739.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10472,761943,1,disco corte,5.000000,2344.000000,11720.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10472,761943,2,tuerca,3.000000,50.000000,150.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-11,10439,762212,1,cuerda 12 mm,5.000000,546.000000,2730.0000,VILLA ALEMANA,VILLA ALEMANA
